host_name,host_since,host_response_time,host_id,host_about
Mina,4/8/14,within an hour,14042475,Our home is your home. We will do our best to ensure that your stay is as pleasant as possible.
Joan,4/23/13,within an hour,6063232,"Hello, I am Joan.  I was born in Czechoslovakia and I have lived in Czechoslovakia, Austria, Canada and now Dallas, TX.  I have traveled extensively in Europe, Canada, Costa Rica and the United States.  My favorite places are Tuscany, Italy; Prague, Czech Republic; Toronto, Canada; San Jose, Costa Rica; and southern California, plus Dallas.  I speak fluent Czech, understand most Slavic languages, and even speak a little German.  I enjoy life, exercise, the coasts and the beach, good dining, theatre, music and travel.  I love my work managing my apartments and caring for my tenants and guests."
Fred,6/28/13,within an hour,7173761,"World Traveler for art's sake. World Explorer for harmony's sake. Creative, Intellectual, grateful for every ounce of beauty and creativity in this world. "
Holly,10/9/12,within an hour,3809024,"Photographer who loves to dance.  Widow. Two grown children.  Interested in museums, the arts, dancing, cooking and outdoors. I have been a freelance photographer for 45 years. My daughter is an actress and singer, my son is an independent IOS developer and blogs at : biketoeverything. I travel all the time to see new places, to dance workshops and to visit family and friends. Recently I moved to Paris, France and I go back and forth."
Roberto,7/28/11,within a few hours,885061,"Vivo en Dallas, Texas y soy Profesor de Física en una Universidad local.   Me gusta viajar y conocer nuevos mundos y he tenido la fortuna de poder hacerlo; me encanta correr bicicleta, el mar y las montañas.

I live in Dallas, Texas and am a professor of Physics at a local university.  I love to travel and enjoy meeting people from all over the world.   I love to go on long bike rides, the ocean and the mountains.
"
Jan,3/10/14,within an hour,12993311,"I live in this 5 bedroom house with my dogs Daisy, Jacques and Cora in old East Dallas.. 2.2 miles  to the cotton bowl and 2.7 to downtown Dallas.  

I work at SMU and keep myself busy volunteering at the Dallas Museum of Art, with friends and book clubs but I love my quite down time at home, what little of it I have.

I love to garden, walk my dogs on the Santa Fe Trail 2 blocks from the house, and visit with a cup of tea or glass of wine."
Joan,4/23/13,within an hour,6063232,"Hello, I am Joan.  I was born in Czechoslovakia and I have lived in Czechoslovakia, Austria, Canada and now Dallas, TX.  I have traveled extensively in Europe, Canada, Costa Rica and the United States.  My favorite places are Tuscany, Italy; Prague, Czech Republic; Toronto, Canada; San Jose, Costa Rica; and southern California, plus Dallas.  I speak fluent Czech, understand most Slavic languages, and even speak a little German.  I enjoy life, exercise, the coasts and the beach, good dining, theatre, music and travel.  I love my work managing my apartments and caring for my tenants and guests."
Rc,1/30/14,within an hour,11801188,"Outgoing, fun and very focus in attention to detail.... Hospitality industry background 
"
Teena,5/25/14,within an hour,15962199,"I LOVE animals and nature, cant live without trees.
I love a variety of ethnic foods and enjoy cooking.
Music preferences are either calm classical or old rock and roll/ Motown.
I like to watch historic documentaries, science fiction especially time travel, whimsy movies and movies that have subtle messages for our growth and peace on the planet."
Alicia,5/31/14,N/A,16213597,"Hello, my name is Alicia, a little about myself , I enjoy gardening, decorating my home, and visiting  with my Neighborhood friends. I also enjoy a walk to White Rock Lake  from my home and a visit to the Dallas Arboretum. I enjoy especially sitting in my garden and enjoying a glass of wine in the evenings.  As my hobby, I have a passion for antique linens, and any kind of vintage textiles.  I have quite a collection that, I collected during my travels throughout  Europe.  You will see them through out the house, as I want my guest to enjoy them as I do.  On occasion you will see a small tablecloth on little tables in the garden. Just for Fun !  An interesting  fact about me is that I lived in the Netherlands for several years, where I learned to  speak a third language Dutch. And also, where I learned the joy of gardening.  Please come enjoy a weekend in my cozy little Cottage. I will do my best to be the best host ! 
Thank you for inquiring  on my page. And I look forward to hosting you as my guest !"
David,4/18/16,N/A,67815046,
Joan,4/23/13,within an hour,6063232,"Hello, I am Joan.  I was born in Czechoslovakia and I have lived in Czechoslovakia, Austria, Canada and now Dallas, TX.  I have traveled extensively in Europe, Canada, Costa Rica and the United States.  My favorite places are Tuscany, Italy; Prague, Czech Republic; Toronto, Canada; San Jose, Costa Rica; and southern California, plus Dallas.  I speak fluent Czech, understand most Slavic languages, and even speak a little German.  I enjoy life, exercise, the coasts and the beach, good dining, theatre, music and travel.  I love my work managing my apartments and caring for my tenants and guests."
Amy,5/10/13,within an hour,6324192,We are from Dallas Texas. My husband is a photographer and I am an Interior Designer and painter. We are very laid back and enjoy taking our time on trips to enjoy the local lifestyle.
Judith,2/17/14,within a few hours,12321313,"Professional woman with elegant two-story house in beautiful, quiet and safe neighborhood.  Two to five minutes to Dallas North Tollway or George Bush Tollway to all major highways in DFW Metroplex. Love to provide comfort for guests, including healthy, delicious food.  "
Zagros,4/25/14,within an hour,14736042,Zagros was raised in Dallas and graduated from Plano Senior High School. After high school he went to the University of Texas at Austin and graduated with a degree in psychology. Texas is still home and he is grateful to show his southern hospitality to his guests. 
Jan,3/10/14,within an hour,12993311,"I live in this 5 bedroom house with my dogs Daisy, Jacques and Cora in old East Dallas.. 2.2 miles  to the cotton bowl and 2.7 to downtown Dallas.  

I work at SMU and keep myself busy volunteering at the Dallas Museum of Art, with friends and book clubs but I love my quite down time at home, what little of it I have.

I love to garden, walk my dogs on the Santa Fe Trail 2 blocks from the house, and visit with a cup of tea or glass of wine."
Lisa,10/9/14,within a few hours,22330135,
Blake,11/14/14,within a day,23751816,"I've been Hosting and Traveling with Airbnb since 2015. Love to travel, though it's getting more difficult as time passes. Very attentive and respectful regardless of whether I'm a host or guest."
Cory,10/26/13,within a few hours,9649521,"A healthcare sales consultant. I have owned my townhome for 18 yrs and recently completed the remodel/updating of my entire home. I pride myself in making it a home and not a bachelor pad. I grad from Hospitality Business Management so I enjoy entertaining, being hospitable. AirBnB gives me the opp to utilize my degree by managing a one bedroom B&B in my home. I enjoy taking care of guests and helping them see why Dallas is a great place to live."
Tiffaney,12/4/13,within an hour,10435889,"My husband and I love hosting and have met some amazing people through our Airbnb adventures. We love to travel and love being outdoors. Give us mountains in the winter and a beach in the summer, and we are happy people!"
Michael,11/1/13,within an hour,9761734,"Airline Pilot who grew up in NY and traveled the world. :). You can normally find me in the Cockpit of a Boeing 737 or on a Road Bike going fast! Providing travelers Modern, Luxury accommodations where they can gather with Family and Friends is my passion. Kicking generic Hotels A$$es in the process is an ancillary benefit!! "
Mark,11/12/13,N/A,9954289,
Lisa,3/17/15,N/A,29514625,Downtown conference and boutique event space across from Dallas Farmers Market.  Original 1920 produce warehouse offered on Airbnb to bring light to the buildings we must preserve. 
Cynthia,10/15/11,within a day,1294259,"About Ms Padilla
-University adjunct Studio Arts & Design ( SMU, Dallas Community College District, Collin Community College District . Retired.
-ESL educator. Accent reduction.
-Homestay host  to international travelers.
-Born in the magical 'Big Easy'...New Orleans, Louisiana where conversations between friends or strangers includes 'dawlin.'
-Educated in Los Angeles, California
-Traveled the world in the glamorous fashion/design career.
-3rd generation family tradition of host to international travelers 
Welcome HOME all y'all!
"
Adam,4/14/15,N/A,31234076,
John,8/8/19,N/A,283859668,
Valarie,8/27/14,within an hour,20618407,"Our team has been hosting for over 20 years, Locally managed in Dallas. 
Offering you personalized service attention, sparkling clean styled accommodations for business, relocating from out state, medical professionals helping the community. 
Quiet properties catering to professionals. 
Great locations, walking distance to shopping & restaurants."
Vernon,6/27/15,within an hour,36887133,"Married to Lisa for past 30 years. 

High School Orchestra Teacher 30 years, now retired.

Professional Violist.  Performed all over world with many famous musicians. 

Played in the Ray Price band until Ray's death in 2013.

Like to scuba dive, fish, travel, and camp. 

Have 2 dogs and 3 indoor cats."
Mona,7/9/15,N/A,37999128,"I am one who appreciates camping and the outdoors.  I love sitting out on the porch with a glass of wine, some cheese and pear slices.  I love God, nature and trying to bring a smile to people's faces.  I am a hard worker and I think people are worth working hard for, esp. if you may never see them again.
""Work hard at everything"""
Cynthia,10/15/11,within a day,1294259,"About Ms Padilla
-University adjunct Studio Arts & Design ( SMU, Dallas Community College District, Collin Community College District . Retired.
-ESL educator. Accent reduction.
-Homestay host  to international travelers.
-Born in the magical 'Big Easy'...New Orleans, Louisiana where conversations between friends or strangers includes 'dawlin.'
-Educated in Los Angeles, California
-Traveled the world in the glamorous fashion/design career.
-3rd generation family tradition of host to international travelers 
Welcome HOME all y'all!
"
Sean,9/10/12,within an hour,3527030," I have a passion for people, music and traveling. Making the most out of life everyday! I want to see the world and meet as many people as possible. I'm a very open minded person, and love anything outdoors. I enjoy trying new things and teaching new things to others. Whether it's food, drinks, music or learning a new hobby...I'm always up for something new.
"
Carlos,7/30/15,within an hour,40014595,
Andrea,7/31/15,within a few hours,40088073,
Blake,12/2/14,within an hour,24407447,"I am a full time Airbnb host and real estate investor who loves to explore new places. Love a nice afternoon of golf or tennis followed up with a good German beer. 

Cheers! "
Jeff,1/17/14,within an hour,11394453,"Hi!  I am a 38 year Dallas resident that has stayed in lots of places and I really like staying in my home style of living when I travel. I have found that through staying with other AIRBNB hosts. Because of that, I enjoy hosting to people with similar tastes. 

I try to provide a welcoming environment and have guests feel ""he did a little more than expected"".

Ask if you need referrals for services, food, events or concerts. I can usually give you some direction. 

Jeff"
Ally,2/2/15,within a day,27100767,"Born and raised in the Dallas/ Fort Worth area. I love my home town. I love that I am a Texan. We sure can have hot summers, but they only last a little while. For the rest of the year, the weather is great! Dallas/Fort Worth has great parks, lakes, museums, shopping, and restaurants.

That said, I love to travel. We have family and friends in Scotland so we travel quite a bit to visit them. I love experiencing the history, culture, and cuisine of new places. Travel On!"
Katrina,3/11/14,within an hour,13030399,"Hi! I’m an Oak Cliff native who loves to host. I like to travel, knit, and explore! "
Theresa,7/19/15,within an hour,38961725,"Welcome to Dallas!    I selected the Treehouse for its prime location, with walkable access to dining, shopping, and nightlife.   Its smart design ensures you’ll have all the comforts of home.   Nestled just two blocks from a spacious park, it’s conveniently close to downtown and major highways, yet blissfully quiet.   Since 1980, I’ve worked in real estate, inspired by the people I’ve met along the way."
Katie,2/6/15,N/A,27296534,"I work in the travel industry promoting adventure and sustainable tourism and have lived in Texas for the past 7 years. In my spare time I like to travel the world, eat and cook all different types of food, run long distances, do photography and try to learn Spanish! I enjoy hosting people as well as staying in spaces all over the world and sharing as much as I can while learning about the world at large! "
Brian,10/5/15,within an hour,45814261,"I am a self-employed engineering consultant and  enjoy hiking, biking, traveling off the beaten path, and watching college football."
John,10/10/15,within an hour,46242681,
Lisa,8/8/15,within a few hours,40907479,"I grew up in Mexico City, (thus speak fluent Spanish) attended Brown University, and have lived in Dallas for 30 plus years. I greatly enjoy this thriving city. I own a small upscale medical spa, Luxury on Lovers, just minutes from this location. Guests enjoy a 20% discount on spa services (excluding medical treatments). 

I lead a very healthy lifestyle and have a great circle of friends. I have a special place in my heart for all animals and frequently rescue and foster dogs. All of my properties are pet-friendly. 

I love to cook and enjoy creating a warm, comfortable, and cozy atmosphere in my home and my spa. I believe my properties also reflect this. I love to travel, hang with my dogs, and immerse myself in a great book. 

 I have been told by all of my guests that my properties have significantly more amenities than others they have stayed at. I live just minutes away from all of them so am readily available for questions, recommendations, etc. 

I look forward to hosting you!
"
Joan,4/23/13,within an hour,6063232,"Hello, I am Joan.  I was born in Czechoslovakia and I have lived in Czechoslovakia, Austria, Canada and now Dallas, TX.  I have traveled extensively in Europe, Canada, Costa Rica and the United States.  My favorite places are Tuscany, Italy; Prague, Czech Republic; Toronto, Canada; San Jose, Costa Rica; and southern California, plus Dallas.  I speak fluent Czech, understand most Slavic languages, and even speak a little German.  I enjoy life, exercise, the coasts and the beach, good dining, theatre, music and travel.  I love my work managing my apartments and caring for my tenants and guests."
Robert,2/15/13,N/A,5096616,"From  Dallas, Big fan of volleyball and yoga.  And Vacations..."
Dia,11/12/15,within an hour,48821106,"Your host :: is a native of Dallas who has also lived in New Orleans and Ithaca, New York / enjoys the many cultural offerings of the city / is a meditation enthusiast / likes a good party as much as a silent retreat / loves nature and the beautiful skies of Texas / works as a sustainable graphic designer & college professor / enjoys meeting people from all over the world / takes pleasure in offering guests a refuge from busy city life"
Brett,11/14/15,within a few hours,49028930,"Family owned and operated. Two brothers and sister. We enjoy hosting and providing nice unique stays in Dallas, Fort Worth, and Galveston."
Stan,8/18/14,within an hour,20205060,"Stan is a Real Estate Investor and loves all aspects of creating space that energizes your soul.  As the CEO and Chief Creative Officer of Lux | Luxor, Inc, he takes great pride in ensuring clients and guests have an opportunity to experience his design and life philosophy....""Creating and designing inspiring spaces so that you can live your best life""... Attention to detail, luxury, tailored comfort, and fun delivered in a professional, caring, real, and down to earth way. Welcome to Lux | Luxor, Inc!  The Lux Team looks forward to providing you with 5-star service - we like to say 'Allow Me...'

Feel the Spirit!"
Brett,11/14/15,within a few hours,49028930,"Family owned and operated. Two brothers and sister. We enjoy hosting and providing nice unique stays in Dallas, Fort Worth, and Galveston."
Brett,11/14/15,within a few hours,49028930,"Family owned and operated. Two brothers and sister. We enjoy hosting and providing nice unique stays in Dallas, Fort Worth, and Galveston."
Brett,11/14/15,within a few hours,49028930,"Family owned and operated. Two brothers and sister. We enjoy hosting and providing nice unique stays in Dallas, Fort Worth, and Galveston."
Jan,3/10/14,within an hour,12993311,"I live in this 5 bedroom house with my dogs Daisy, Jacques and Cora in old East Dallas.. 2.2 miles  to the cotton bowl and 2.7 to downtown Dallas.  

I work at SMU and keep myself busy volunteering at the Dallas Museum of Art, with friends and book clubs but I love my quite down time at home, what little of it I have.

I love to garden, walk my dogs on the Santa Fe Trail 2 blocks from the house, and visit with a cup of tea or glass of wine."
Jennifer,1/2/16,within an hour,53066413,"I'm a Sagittarius, so I am a gypsy at heart!  I was born about an hour south of Dallas in a small town of about 25,000 - I've lived in Michigan, New York, and Florida, but always come back to Big D.  It's a great place and people are super nice here.  I hope you think so when you visit!

Love love love music and the performing arts.  I have been a season ticket holder for Dallas Summer Musicals for 19 years!  (wow...that number crept up on me...)  I appreciate all perspectives and am looking forward to new relationships from my new Airbnb connections.

I want you to be comfortable and happy here - if there is something I missed or something you forgot that is not already provided, just let me know!

Live. Laugh. Love!
"
Judy,2/16/15,within a few hours,27836510,My husband and I live in Dallas. I have been an Airbnb super host for seven years. My husband and I own a remodeling company and enjoy traveling and meeting new people. We love to host!
Jerod,12/13/13,N/A,10603454,Looking for adventures off the beaten path!
Dale,2/12/16,within an hour,58506970,
Elizabeth,9/23/14,within an hour,21699077,"Don and I have lived in historic East Dallas for over 10 years.  We love this part of town and the historic architecture of our area.  We are close to everything, without being in heavy traffic.  We love that we are just a short cab ride or bike ride to Deep Ellum, Baylor, Parks, Bike Trails, Downtown, Uptown, and Lakewood.  My husband and I own and manage our own apartments and live close by.  I'm usually just a text or phone call away.  We recently purchased property and manage some beautiful historic properties in Vicksburg, Mississippi!  Please come visit us in Vicksburg too!  It is a Beautiful charming historic riverfront town!  You will fall in love with the architecture and this charming town!  We sure have!"
Israel,9/10/15,within an hour,43889052,"Hi my name is Israel, I enjoy meeting new people."
Mike,6/14/14,within an hour,16783105,
City,7/1/15,within an hour,37273366,"Licensed Real Estate agent in Texas, property management, and RE Investing!  Eventually I would love to own enough properties to  retire early and live off of my rental income, but that's a long way away :).  I thrive on networking, so feel free to speak up if you sense any synergy.   My passions include Real Estate, interior design, French bulldogs, painting in my free time, travel, business and creative strategy, always working on being better than the day before.  

"
John,3/3/16,N/A,61431187,I’m a Dallas transplant from South Texas. Went to school at Texas Tech. I enjoy the outdoors and sporting events.  
Carolyn,9/29/10,within an hour,249111,"Vegetarian nonsmoker, likes dogs and appreciates good beer. Allergic to cats.

My husband and I (30 yrs, no kids) usually walk and take public transit when visiting urban areas. Our travels center around the arts, especially the visual arts."
Brett,11/14/15,within a few hours,49028930,"Family owned and operated. Two brothers and sister. We enjoy hosting and providing nice unique stays in Dallas, Fort Worth, and Galveston."
Israel,9/10/15,within an hour,43889052,"Hi my name is Israel, I enjoy meeting new people."
Nadia,3/12/16,N/A,62676658,
Jeffrey,10/21/13,within an hour,9557710,"Following 15 years tied to a desk, I quit my finance job and decided to take a break from work to go see the world.  I live with my husband Aaron who is a high school Choir Director.  We both share a love of traveling, meeting new people and learning about different places and cultures and for us staying with locals is the only way to travel. During my hiatus from work we are now enjoying the hosting side of Airbnb.  When school is out or on long weekends we will often leave town and rent out our entire home.  When we're in town we rent out our guest room(s).   Collectively, we have visited over 60 countries and nearly all 50 states and are constantly looking for new and exciting places to explore.  We look forward to adding you to our growing list of friends from all over the world whether we are hosting you in our home or visiting yours.  "
Stan,8/18/14,within an hour,20205060,"Stan is a Real Estate Investor and loves all aspects of creating space that energizes your soul.  As the CEO and Chief Creative Officer of Lux | Luxor, Inc, he takes great pride in ensuring clients and guests have an opportunity to experience his design and life philosophy....""Creating and designing inspiring spaces so that you can live your best life""... Attention to detail, luxury, tailored comfort, and fun delivered in a professional, caring, real, and down to earth way. Welcome to Lux | Luxor, Inc!  The Lux Team looks forward to providing you with 5-star service - we like to say 'Allow Me...'

Feel the Spirit!"
Lauryn,8/2/13,N/A,7892649,"I am a young professional that loves helping other millennials organize their finances. Money is a tool. It doesn't come with a purpose, you have to give it one. I have Great Dane named Yasu and I love Law & Order. "
Asher,3/26/16,within an hour,64526429,"Hey Y'all ! I am the founder of goldnest Co, Dallas TX based luxury Property Management Company . 
Through a plethora of globetrotting travel experiences, I have gathered all sorts of unique hosting and guesting experiences. 
Our properties provide our guests with the utmost comfort and the feeling that they are exactly were they need to be! 

  "
Vernon,6/27/15,within an hour,36887133,"Married to Lisa for past 30 years. 

High School Orchestra Teacher 30 years, now retired.

Professional Violist.  Performed all over world with many famous musicians. 

Played in the Ray Price band until Ray's death in 2013.

Like to scuba dive, fish, travel, and camp. 

Have 2 dogs and 3 indoor cats."
Joan,4/23/13,within an hour,6063232,"Hello, I am Joan.  I was born in Czechoslovakia and I have lived in Czechoslovakia, Austria, Canada and now Dallas, TX.  I have traveled extensively in Europe, Canada, Costa Rica and the United States.  My favorite places are Tuscany, Italy; Prague, Czech Republic; Toronto, Canada; San Jose, Costa Rica; and southern California, plus Dallas.  I speak fluent Czech, understand most Slavic languages, and even speak a little German.  I enjoy life, exercise, the coasts and the beach, good dining, theatre, music and travel.  I love my work managing my apartments and caring for my tenants and guests."
Van And Lynn,12/9/14,N/A,24649217,"We are empty nesters. We can come and go as we please. We're foodies and enjoy a good glass of wine. We love reading, movies and the arts. Van runs an HR consulting practice and sees about 50 sets of live music a year. Lynn is a professional actor and avid cook. We've traveled the world and our favorite places are Italy, Thailand, Cape Cod and Napa Valley."
Jim,4/28/16,within an hour,69410401,"Designer, artist, traveler"
Edina And Joe,5/7/16,within an hour,70820214,"Hi, we have a lovely 2 BR/2Bath condo in a very good, central location - close to everything. Now, we want others to enjoy our little home. We made it super comfortable, it is fully equipped with everything you may need and MORE! Edina is a teacher and I am a computer programmer. Please check out our pictures and let us know when you're coming!"
Bruce,1/12/16,N/A,54424591,
Aj,5/21/16,within an hour,73227695,"Texas Premium Rentals, LLC is a limited liability corporation that looks to provide an elite customer experience through rentals."
Fiona,5/26/16,N/A,74141217,"My husband and I are British expats who have lived in Dallas for a few years and we like to introduce visitors to this city of unexpected charm.

I love travelling in the States and abroad.  Hiking and the outdoors are great joys to me and I have visited many national parks, the most recent being Joshua Tree.  We appreciate good wine and spend a lot of time in the Willamette Valley, the Pinot Noir producing region of Oregon.  For a relaxing vacation we head south to the beaches and great scuba diving of the Riviera Maya in Mexico.

When at home we like to cook and enjoy sitting out in the urban oasis that is our small, secluded back garden.  We hope you will enjoy it too!  There is a gas grill out there which you are welcome to use.

If you like reading, I have a small library in the house (I used to teach English and Drama) so please feel free to borrow a book for the duration of your stay.

We have two lovely cats (who are not permitted in the guest suite).  

Your ensuite room and attached living/dining area affords you plenty of space and privacy and we will be hands off hosts.  However, we know the local area well and are here to give information, advice and help.  Please don't hesitate to ask.

We understand you want to know a little about a potential host before you make a reservation so you will understand we want to know a little about you before we host you in our home and we reserve the right to decline room requests without explanation. Please make sure you have a picture and information about yourself on your profile before booking.

  We celebrate diversity and welcome adults over 18, regardless of nationality, race, religion or sexual orientation.  We generally cannot accommodate children under 18 as the house has 4 steep staircases with no child gates and we also have elderly cats. Nothing against children as I am a former middle and high school teacher and mentor with Big Brothers Big Sisters, but we prefer to err on the side of caution when it comes to safety and liability.  However, we will consider young adults over 16 if accompanied by a guardian over 21.  We are conveniently located for a number of colleges and we have the extra sofa bed (at least 48 hours notice required) so would be a good choice for high school students making college visits with their parents.

We do not have wheelchair access but we can make arrangements for elderly or infirm guests to access the room through the garage to avoid steps.  Please contact me in advance with special requests.

We look forward to meeting you soon!"
M,3/2/16,within a few hours,61276660,"I'm a long time Dallas resident and local artist. I've lived in this neighborhood for over 15 years and know the best places to eat, see and locate during your visit! "
Sai,5/30/16,within an hour,74829255,"I am a very clean, relaxed individual that loves to travel! Working in the construction industry has taught me a lot about the quality of building materials and building structures. On my time off I enjoy the sites and entertainment options that Dallas has to offer. I am a huge sports fan, so I get excited when I get a chance to attend one of the many pro sporting events here in the Dallas Metroplex. AirBnB has been great to me, as all of my guests have truly been a pleasure to host. Please make yourself at home, and don't hesitate to ask for additional accommodations, as I will provide as much as I possibly can."
Jonathan,5/13/16,N/A,71839752,
Rob,6/5/16,within an hour,76039395,
Braden,11/18/14,within an hour,23916014,"Welcome to Dallas! As a lifelong resident, I specialize in the historic communities of East Dallas and Deep Ellum. Through Ritzy Room, I professionally manage properties to ensure a seamless, memorable stay. I’m committed to providing the best experience and welcome all feedback to continually improve. Thank you for choosing to stay with us!"
Braden,11/18/14,within an hour,23916014,"Welcome to Dallas! As a lifelong resident, I specialize in the historic communities of East Dallas and Deep Ellum. Through Ritzy Room, I professionally manage properties to ensure a seamless, memorable stay. I’m committed to providing the best experience and welcome all feedback to continually improve. Thank you for choosing to stay with us!"
Teresa,7/20/16,within an hour,84990738,
Lan,7/22/16,N/A,85293121,"I love to travel and use AirBnB quite a bit. I will do my best, use my experiences to make you feel at home. I have a little boy born in 2016, he has even traveled with me to China, Japan, Denver, Florida, New Mexico and California. I know you will be happy you chose our townhouse!!"
Michael,3/23/14,within an hour,13426639,"We are into health, fitness, travel, and living a big life. Our house shows much of our interests and we made it a peaceful, modern home."
Braden,11/18/14,within an hour,23916014,"Welcome to Dallas! As a lifelong resident, I specialize in the historic communities of East Dallas and Deep Ellum. Through Ritzy Room, I professionally manage properties to ensure a seamless, memorable stay. I’m committed to providing the best experience and welcome all feedback to continually improve. Thank you for choosing to stay with us!"
