restaurant_id,restaurant_name,cuisine,city,state,address,phone_number,email,delivery_available,seating_capacity,opening_hours,has_wifi,has_outdoor_seating,payment_methods,parking_available,alcohol_served,reservation_required,music_type,health_rating,has_kids_menu
9000000017,"Hill, Prince and Sandoval Bar",Indian,Lake Joshuamouth,Alaska,53423 Reyes Stream Suite 255,(542) 481-4882,hillprinceandsandovalbar@gmail.com,Yes,80,11:00 AM - 11:00 PM,Yes,Yes,All Methods,No,Yes,Yes,None,82,Yes
9000000018,Adams-White Kitchen,Thai,New Daniel,Indiana,1137 Dougherty Drive Apt. 697,(646) 934-3600,adams-whitekitchen@gmail.com,No,80,1:00 PM - 10:00 PM,No,No,Credit Card Only,Yes,No,Yes,Jazz,93,No
9000000019,Wright-Robertson Bistro,American,East John,Minnesota,7449 Michelle Shoal,(553) 729-2966,wright-robertsonbistro@gmail.com,Yes,100,8:00 AM - 4:00 PM,Yes,No,"Cash, Credit Card",Yes,No,No,Jazz,82,Yes
9000000020,"Ruiz, Wade and Christensen Grill",Mexican,East Allisonfort,South Carolina,4442 Shawn Dale Suite 669,(524) 440-8979,ruizwadeandchristensengrill@gmail.com,No,100,11:00 AM - 11:00 PM,Yes,No,"Credit Card, Apple Pay",No,Yes,No,Pop,100,Yes
9000000021,"Wood, Jackson and Fry Cafe",Mexican,Avilafurt,Washington,6087 Johnson Manors Apt. 717,(646) 786-2239,woodjacksonandfrycafe@gmail.com,Yes,100,8:00 AM - 4:00 PM,No,Yes,"Cash, Credit Card",Yes,No,Yes,Instrumental,93,Yes
9000000022,Davis-Williams Bistro,Greek,Dunnburgh,Utah,815 Roberts Passage Apt. 571,(740) 876-3526,davis-williamsbistro@gmail.com,No,100,7:00 AM - 3:00 PM,Yes,Yes,Cash Only,Yes,No,Yes,Pop,80,No
9000000023,Gibson LLC Grill,Mexican,Brendabury,Missouri,58796 Guzman Crescent Apt. 802,(334) 418-2348,gibsonllcgrill@gmail.com,No,100,10:00 AM - 10:00 PM,No,No,"Cash, Credit Card",Yes,No,Yes,Live,89,No
9000000024,"Blanchard, Rogers and Bell Diner",Mexican,Angelastad,Florida,11028 Philip Field Suite 143,(442) 902-2494,blanchardrogersandbelldiner@gmail.com,Yes,40,9:00 AM - 5:00 PM,Yes,No,Cash Only,Yes,Yes,No,Live,94,No
9000000025,"Miller, Smith and Miller Diner",French,Steventown,Arizona,3888 Carter Ports Apt. 363,(939) 355-3957,millersmithandmillerdiner@gmail.com,Yes,60,8:00 AM - 4:00 PM,No,No,All Methods,Yes,Yes,No,Live,80,No
9000000026,Brown-Myers Kitchen,Indian,Port Samuel,Hawaii,22265 Seth Inlet Suite 674,(239) 505-4351,brown-myerskitchen@gmail.com,Yes,100,9:00 AM - 5:00 PM,No,No,All Methods,No,No,Yes,Instrumental,82,No
9000000027,Barnett Ltd Bistro,Chinese,North Taylor,Washington,124 Connie Lane,(788) 398-2884,barnettltdbistro@gmail.com,No,20,1:00 PM - 10:00 PM,No,Yes,"Credit Card, Apple Pay",Yes,Yes,Yes,Jazz,97,No
9000000028,"Ortiz, Harding and Manning Grill",Japanese,West David,Maine,307 Samuel Parkway Apt. 470,(771) 756-8075,ortizhardingandmanninggrill@gmail.com,Yes,40,9:00 AM - 5:00 PM,Yes,No,"Credit Card, Apple Pay",No,No,Yes,Jazz,97,Yes
9000000029,Pierce Ltd Kitchen,French,East Juan,Arkansas,485 Sanchez Path,(937) 237-8996,pierceltdkitchen@gmail.com,Yes,40,8:00 AM - 4:00 PM,No,No,"Google Pay, Cash",Yes,No,Yes,Live,91,Yes
9000000030,"Green, Beck and Gonzalez Bar",Indian,South Rubenborough,California,60531 Maurice Squares,(755) 470-6387,greenbeckandgonzalezbar@gmail.com,No,100,9:00 AM - 5:00 PM,No,Yes,Credit Card Only,Yes,No,Yes,Instrumental,85,Yes
9000000031,"Barnes, Brooks and Sullivan Grill",Thai,Denisechester,Connecticut,5013 Fitzgerald Mews,(816) 731-6687,barnesbrooksandsullivangrill@gmail.com,No,60,10:00 AM - 10:00 PM,No,No,Credit Card Only,No,No,Yes,Live,92,No
9000000032,Rodriguez and Sons Bar,Italian,Derrickside,Montana,009 Benjamin Union,(489) 452-9405,rodriguezandsonsbar@gmail.com,Yes,60,11:00 AM - 11:00 PM,No,Yes,"Credit Card, Apple Pay",No,Yes,No,Instrumental,83,Yes
9000000033,"Mccullough, Parker and Pugh Cafe",Indian,Lewishaven,New Mexico,91146 Cowan Field Suite 117,(784) 741-4133,mcculloughparkerandpughcafe@gmail.com,Yes,100,11:00 AM - 11:00 PM,No,No,"Cash, Credit Card",Yes,Yes,No,Live,83,Yes
9000000034,Gates-Lester Grill,Mexican,Port Donaldbury,Pennsylvania,615 Mooney Skyway Suite 524,(643) 711-1288,gates-lestergrill@gmail.com,No,100,12:00 PM - 9:00 PM,No,Yes,All Methods,No,Yes,Yes,Instrumental,82,Yes
9000000035,Castro-English Cafe,Chinese,New Stephaniebury,Nevada,658 Christopher Neck Apt. 303,(545) 801-8389,castro-englishcafe@gmail.com,Yes,20,11:00 AM - 11:00 PM,Yes,No,"Cash, Credit Card",No,No,No,Instrumental,83,Yes
9000000036,Howard-Reilly Bistro,Italian,West Jasmine,Nevada,69862 Michelle Mount,(419) 814-6237,howard-reillybistro@gmail.com,No,20,10:00 AM - 10:00 PM,Yes,Yes,"Credit Card, Apple Pay",No,Yes,No,Pop,98,No
9000000037,"Campbell, Harrington and Sawyer Bistro",Chinese,Littleside,Maryland,38367 Smith Village Apt. 597,(932) 799-8294,campbellharringtonandsawyerbistro@gmail.com,Yes,80,7:00 AM - 3:00 PM,No,Yes,"Credit Card, Apple Pay",Yes,No,No,Pop,89,No
9000000038,Coleman-Cunningham Bar,Indian,Port Paige,New York,847 Rodriguez Rue,(570) 457-9865,coleman-cunninghambar@gmail.com,Yes,60,9:00 AM - 5:00 PM,Yes,No,All Methods,No,No,Yes,Jazz,89,Yes
9000000039,Coleman Inc Cafe,Mexican,Vaughnberg,Arkansas,2059 Miller Squares Suite 514,(346) 565-1342,colemaninccafe@gmail.com,Yes,60,11:00 AM - 11:00 PM,Yes,No,"Cash, Credit Card, Apple Pay",Yes,Yes,No,Instrumental,100,No
9000000040,"Stone, Kaiser and Burke Bar",Italian,North Deanna,Utah,8014 Allen Squares,(998) 590-5317,stonekaiserandburkebar@gmail.com,Yes,40,1:00 PM - 10:00 PM,Yes,Yes,"Cash, Credit Card, Apple Pay",Yes,No,No,None,95,Yes
9000000041,Carter Inc Grill,French,West Elizabethville,South Carolina,7708 Green Parkway,(896) 965-7730,carterincgrill@gmail.com,No,60,9:00 AM - 5:00 PM,No,Yes,"Cash, Credit Card, Apple Pay",No,Yes,Yes,Instrumental,89,Yes
9000000042,"Mcclain, King and Turner Grill",Thai,East Anitastad,Montana,8384 John Run,(536) 495-4620,mcclainkingandturnergrill@gmail.com,Yes,20,1:00 PM - 10:00 PM,Yes,Yes,"Cash, Credit Card, Apple Pay",Yes,No,No,None,80,Yes
9000000043,Hernandez Ltd Cafe,Greek,South Nicholas,Texas,67868 Benjamin Drives,(815) 954-7044,hernandezltdcafe@gmail.com,Yes,80,10:00 AM - 10:00 PM,Yes,No,All Methods,No,Yes,No,None,97,Yes
9000000044,"Castaneda, Smith and Garcia Cafe",French,Lake Joann,New Mexico,3443 Collier Mission,(242) 571-2458,castanedasmithandgarciacafe@gmail.com,No,60,9:00 AM - 5:00 PM,Yes,No,Cash Only,Yes,Yes,No,Pop,94,Yes
9000000045,Duncan PLC Grill,Thai,West Richardton,Missouri,835 Oliver Hollow Suite 117,(462) 201-3916,duncanplcgrill@gmail.com,No,20,10:00 AM - 10:00 PM,Yes,Yes,Cash Only,Yes,No,Yes,Instrumental,93,No
9000000046,Jones Inc Bar,Indian,South Kennethland,Arizona,3718 Tina Streets Apt. 851,(768) 724-3014,jonesincbar@gmail.com,No,40,7:00 AM - 3:00 PM,Yes,No,"Cash, Credit Card",Yes,Yes,No,Live,97,No
9000000047,"Marshall, Lopez and Richardson Bistro",American,East Steven,Arkansas,058 Ryan Pass Apt. 568,(792) 408-2312,marshalllopezandrichardsonbistro@gmail.com,Yes,60,10:00 AM - 10:00 PM,No,No,All Methods,No,Yes,Yes,Live,88,Yes
9000000048,Mack Inc Kitchen,Greek,Dannytown,West Virginia,18360 Angela Street,(483) 619-3124,mackinckitchen@gmail.com,Yes,100,10:00 AM - 10:00 PM,No,No,"Credit Card, Apple Pay",Yes,No,No,Pop,84,Yes
9000000049,Morrison and Sons Grill,American,Monroeshire,New Mexico,639 Paula Dale,(808) 819-5833,morrisonandsonsgrill@gmail.com,No,100,12:00 PM - 9:00 PM,Yes,No,"Cash, Credit Card, Apple Pay",Yes,No,No,None,98,No
9000000050,Carter LLC Diner,Greek,Larsonside,Delaware,1828 Shaw Square Apt. 773,(843) 972-6271,carterllcdiner@gmail.com,No,20,8:00 AM - 4:00 PM,No,No,"Credit Card, Apple Pay",No,No,No,None,97,No
9000000051,Rodgers Inc Grill,Indian,Port Nicole,Alabama,68924 James Mission,(411) 505-1624,rodgersincgrill@gmail.com,No,20,11:00 AM - 11:00 PM,Yes,No,"Google Pay, Cash",Yes,Yes,Yes,Jazz,86,Yes
9000000052,Estes-Young Diner,Japanese,New William,Wyoming,776 Kim Club,(472) 221-2207,estes-youngdiner@gmail.com,Yes,60,1:00 PM - 10:00 PM,No,Yes,"Google Pay, Cash",Yes,Yes,Yes,None,81,Yes
9000000053,King-Browning Cafe,French,New Patricia,Iowa,41362 Frank Viaduct,(532) 428-8237,king-browningcafe@gmail.com,No,100,7:00 AM - 3:00 PM,No,Yes,Credit Card Only,Yes,No,Yes,Instrumental,93,Yes
9000000054,Davis-Monroe Bistro,Thai,Lopezport,North Dakota,71965 Catherine Land,(610) 984-1173,davis-monroebistro@gmail.com,No,100,10:00 AM - 10:00 PM,No,Yes,"Credit Card, Apple Pay",Yes,Yes,Yes,Live,92,Yes
9000000055,"Walls, Jackson and Manning Cafe",Japanese,Jeffreyburgh,Missouri,9998 Brown Lake,(666) 813-7273,wallsjacksonandmanningcafe@gmail.com,No,40,7:00 AM - 3:00 PM,Yes,No,Cash Only,Yes,Yes,No,Live,96,Yes
9000000056,"Jones, Fritz and Mcmillan Diner",Italian,South Richardtown,Nevada,801 Dean Stream,(859) 319-7601,jonesfritzandmcmillandiner@gmail.com,No,80,7:00 AM - 3:00 PM,Yes,Yes,"Google Pay, Cash",Yes,Yes,Yes,None,95,No
9000000057,King-Campbell Diner,French,Jamieberg,Louisiana,3952 Aguilar Squares,(887) 505-8960,king-campbelldiner@gmail.com,No,60,1:00 PM - 10:00 PM,Yes,No,"Cash, Credit Card, Apple Pay",Yes,No,No,Instrumental,95,No
9000000058,Levine and Sons Bar,Mexican,Joshuahaven,Wyoming,03937 Dennis Prairie Apt. 392,(694) 710-4503,levineandsonsbar@gmail.com,Yes,60,7:00 AM - 3:00 PM,No,Yes,"Google Pay, Cash",No,No,Yes,Pop,100,Yes
9000000059,"Beasley, Jenkins and Thompson Bar",Italian,East Waynemouth,South Carolina,2933 Larry Isle Suite 408,(576) 495-1203,beasleyjenkinsandthompsonbar@gmail.com,Yes,20,7:00 AM - 3:00 PM,No,Yes,Credit Card Only,No,No,Yes,None,83,No
9000000060,"Woods, Houston and Nguyen Kitchen",Japanese,Harrisonside,Missouri,099 Wang Plain Apt. 802,(995) 491-3797,woodshoustonandnguyenkitchen@gmail.com,No,40,7:00 AM - 3:00 PM,No,Yes,"Credit Card, Google Pay",No,No,Yes,Live,85,No
9000000061,Gardner Inc Bistro,American,Barreraport,Rhode Island,973 Tiffany Valleys Apt. 674,(773) 300-6592,gardnerincbistro@gmail.com,No,40,8:00 AM - 4:00 PM,No,Yes,"Cash, Credit Card",Yes,Yes,Yes,Jazz,96,Yes
9000000062,"Flores, Cunningham and Solomon Kitchen",Greek,North Edward,Arizona,49216 Ritter Avenue Apt. 692,(428) 672-3361,florescunninghamandsolomonkitchen@gmail.com,No,40,8:00 AM - 4:00 PM,Yes,Yes,"Credit Card, Google Pay",Yes,No,No,Jazz,89,Yes
9000000063,Flores PLC Grill,Vegan,Shermanmouth,Utah,642 Michele Courts,(493) 297-6271,floresplcgrill@gmail.com,No,40,12:00 PM - 9:00 PM,No,No,Credit Card Only,No,No,No,Instrumental,95,Yes
9000000064,Taylor Ltd Grill,Chinese,Port Brittanyside,Wyoming,184 Duran Turnpike Apt. 979,(571) 856-8877,taylorltdgrill@gmail.com,No,100,12:00 PM - 9:00 PM,Yes,Yes,"Cash, Credit Card, Apple Pay",Yes,No,Yes,Instrumental,96,No
9000000065,Avila-Ross Diner,American,Michaelstad,Rhode Island,9996 Orozco Shore,(939) 834-6022,avila-rossdiner@gmail.com,No,40,1:00 PM - 10:00 PM,No,Yes,Cash Only,Yes,Yes,Yes,Instrumental,100,Yes
9000000066,Fitzpatrick-Olsen Diner,American,Masonstad,Maine,96835 Houston Gardens,(611) 489-9776,fitzpatrick-olsendiner@gmail.com,No,100,9:00 AM - 5:00 PM,Yes,Yes,"Google Pay, Cash",Yes,Yes,Yes,Jazz,81,No
9000000067,Miller-Thomas Bistro,Greek,Laneshire,Florida,658 Williams Ridge,(367) 982-2795,miller-thomasbistro@gmail.com,No,80,12:00 PM - 9:00 PM,Yes,No,Credit Card Only,No,No,No,Jazz,80,Yes
9000000068,Wagner Group Bistro,Vegan,West James,Oregon,979 Gardner Forge Suite 767,(370) 245-2184,wagnergroupbistro@gmail.com,Yes,20,12:00 PM - 9:00 PM,No,No,"Cash, Credit Card, Apple Pay",Yes,No,No,Instrumental,89,Yes
9000000069,Davis-Mccarty Cafe,Thai,Hunterton,Maine,493 Kelly Branch Suite 893,(377) 609-2064,davis-mccartycafe@gmail.com,No,40,9:00 AM - 5:00 PM,No,Yes,"Credit Card, Google Pay",No,Yes,Yes,Instrumental,94,No
9000000070,"Jones, Alexander and Thompson Kitchen",Chinese,Tiffanyfurt,Louisiana,092 Edward Brooks,(261) 622-8094,jonesalexanderandthompsonkitchen@gmail.com,Yes,20,9:00 AM - 5:00 PM,Yes,No,Credit Card Only,Yes,Yes,No,Instrumental,87,Yes
9000000071,Smith Ltd Bar,Italian,Port Julia,Minnesota,011 Amanda Vista Suite 291,(313) 218-8502,smithltdbar@gmail.com,No,100,11:00 AM - 11:00 PM,No,No,Credit Card Only,No,Yes,Yes,Live,100,Yes
9000000072,Rodriguez-Alvarez Bistro,Greek,Rodriguezmouth,Indiana,60855 Scott Cape Suite 718,(385) 999-4462,rodriguez-alvarezbistro@gmail.com,Yes,100,12:00 PM - 9:00 PM,Yes,No,All Methods,No,No,No,None,99,No
9000000073,Hayes-Rogers Bistro,French,West Ashley,Mississippi,5905 Davila Harbor Apt. 522,(916) 906-6321,hayes-rogersbistro@gmail.com,No,20,8:00 AM - 4:00 PM,Yes,No,"Credit Card, Google Pay",No,No,Yes,Pop,92,Yes
9000000074,Anderson PLC Kitchen,Japanese,Scottfurt,Virginia,1631 Harrison Well,(800) 648-2333,andersonplckitchen@gmail.com,Yes,40,9:00 AM - 5:00 PM,No,No,Credit Card Only,No,No,No,None,93,No
9000000075,Hart Ltd Cafe,Vegan,Toddstad,West Virginia,42138 Jamie Ranch Suite 277,(691) 543-4863,hartltdcafe@gmail.com,No,20,7:00 AM - 3:00 PM,Yes,No,"Credit Card, Apple Pay",No,Yes,No,Live,87,Yes
9000000076,"Howell, Allen and Johnston Kitchen",French,Lopezland,West Virginia,15373 Michael Branch Apt. 681,(497) 873-3696,howellallenandjohnstonkitchen@gmail.com,Yes,60,9:00 AM - 5:00 PM,Yes,Yes,"Cash, Credit Card, Apple Pay",Yes,Yes,Yes,None,93,Yes
9000000077,Hamilton-Mclean Bar,Thai,Huffland,Arizona,9815 Michael Heights Apt. 914,(865) 869-2482,hamilton-mcleanbar@gmail.com,No,100,10:00 AM - 10:00 PM,Yes,Yes,"Google Pay, Cash",Yes,No,No,Live,86,No
9000000078,Ward-Mcdonald Grill,Mexican,Loristad,Tennessee,975 Craig Divide Apt. 536,(265) 832-2161,ward-mcdonaldgrill@gmail.com,Yes,80,11:00 AM - 11:00 PM,No,No,"Credit Card, Apple Pay",Yes,No,Yes,Jazz,83,Yes
9000000079,Rivera Inc Cafe,American,New Patricia,South Dakota,68853 Johnson Groves,(482) 456-6631,riverainccafe@gmail.com,Yes,20,7:00 AM - 3:00 PM,No,Yes,Credit Card Only,Yes,No,No,Jazz,96,No
9000000080,Edwards PLC Cafe,American,Luisborough,Virginia,85349 Moon Well,(790) 733-4227,edwardsplccafe@gmail.com,No,100,8:00 AM - 4:00 PM,No,No,"Cash, Credit Card, Apple Pay",Yes,Yes,Yes,Jazz,88,No
9000000081,Gonzales-Kelly Bar,Japanese,Hughesburgh,Rhode Island,11897 Nichols Stream Apt. 710,(224) 292-3769,gonzales-kellybar@gmail.com,Yes,60,8:00 AM - 4:00 PM,No,No,"Cash, Credit Card",No,No,Yes,Jazz,91,Yes
9000000082,"Bennett, Olson and Taylor Grill",Indian,Alexandermouth,Michigan,107 Jeffrey Isle,(514) 472-4724,bennettolsonandtaylorgrill@gmail.com,Yes,40,7:00 AM - 3:00 PM,Yes,No,"Cash, Credit Card",No,No,No,Jazz,91,Yes
9000000083,Skinner Ltd Kitchen,Italian,East Valerie,Ohio,5258 Gray Vista,(572) 914-1888,skinnerltdkitchen@gmail.com,Yes,100,7:00 AM - 3:00 PM,Yes,Yes,"Cash, Credit Card",Yes,No,No,None,84,No
9000000084,Nielsen and Sons Diner,Japanese,East Ashleychester,Oregon,159 Diaz Island,(701) 598-5735,nielsenandsonsdiner@gmail.com,Yes,80,7:00 AM - 3:00 PM,Yes,No,Cash Only,Yes,Yes,No,Jazz,90,No
9000000085,Mcbride-Stanley Diner,Thai,Danielleton,Alaska,57077 Jennifer Parks,(858) 962-4717,mcbride-stanleydiner@gmail.com,Yes,80,1:00 PM - 10:00 PM,No,No,Cash Only,Yes,No,Yes,Jazz,82,Yes
9000000086,Mccarthy Group Bistro,Japanese,Lindamouth,Kansas,264 Billy Spurs Suite 195,(904) 564-7509,mccarthygroupbistro@gmail.com,No,20,9:00 AM - 5:00 PM,No,No,"Cash, Credit Card, Apple Pay",No,Yes,No,None,99,Yes
9000000087,Wilson-Mejia Kitchen,American,Stevensberg,South Carolina,103 Patrick Ports,(711) 664-7132,wilson-mejiakitchen@gmail.com,No,60,10:00 AM - 10:00 PM,No,Yes,All Methods,No,No,Yes,Live,82,No
9000000088,"Barton, Williams and Hayes Bistro",Thai,Baxtermouth,New Jersey,94693 Patricia Walks Suite 787,(212) 769-9716,bartonwilliamsandhayesbistro@gmail.com,Yes,100,1:00 PM - 10:00 PM,Yes,No,Credit Card Only,No,Yes,No,Instrumental,100,No
9000000089,Harrington-Tyler Kitchen,Vegan,Schwartzberg,Kansas,133 Martin Throughway Suite 766,(720) 518-3423,harrington-tylerkitchen@gmail.com,Yes,80,12:00 PM - 9:00 PM,No,Yes,"Cash, Credit Card, Apple Pay",Yes,No,No,Instrumental,93,Yes
9000000090,Ruiz Group Kitchen,Vegan,Coleburgh,Massachusetts,8381 Sandra Mountain,(461) 212-5452,ruizgroupkitchen@gmail.com,Yes,100,10:00 AM - 10:00 PM,No,Yes,Cash Only,Yes,No,Yes,Jazz,87,Yes
9000000091,Mckinney-Gutierrez Cafe,Japanese,Hansenberg,Utah,955 Newman Pines Suite 643,(710) 531-4289,mckinney-gutierrezcafe@gmail.com,No,60,9:00 AM - 5:00 PM,Yes,No,All Methods,No,No,Yes,Jazz,94,No
9000000092,Evans-Gray Bistro,Japanese,Hernandezburgh,Pennsylvania,25016 Nathaniel Parks,(808) 733-8975,evans-graybistro@gmail.com,No,20,1:00 PM - 10:00 PM,Yes,Yes,Cash Only,No,Yes,Yes,None,90,Yes
9000000093,Carter-Evans Cafe,American,Kempville,Maryland,459 Kyle Court,(453) 567-2050,carter-evanscafe@gmail.com,Yes,60,12:00 PM - 9:00 PM,No,No,Cash Only,Yes,No,No,None,91,No
9000000094,Davenport LLC Kitchen,Indian,New Christopherview,Illinois,95271 Jenkins Point Suite 916,(391) 820-9817,davenportllckitchen@gmail.com,Yes,100,1:00 PM - 10:00 PM,Yes,Yes,"Credit Card, Apple Pay",No,Yes,Yes,None,90,No
9000000095,Garza-Cooper Bar,Mexican,Torresmouth,Connecticut,528 Patel Crest,(923) 258-9287,garza-cooperbar@gmail.com,Yes,100,9:00 AM - 5:00 PM,Yes,No,"Credit Card, Apple Pay",No,Yes,Yes,Jazz,98,Yes
9000000096,Mcknight-Allen Bar,Indian,Christophermouth,Colorado,1169 Brian Bypass Suite 664,(973) 684-9618,mcknight-allenbar@gmail.com,No,20,7:00 AM - 3:00 PM,Yes,No,"Cash, Credit Card",Yes,Yes,No,Pop,88,No
9000000097,"Clark, Nelson and Robinson Bar",French,Michaelborough,Idaho,158 Richard Way,(858) 833-4661,clarknelsonandrobinsonbar@gmail.com,Yes,80,8:00 AM - 4:00 PM,Yes,No,"Credit Card, Apple Pay",Yes,No,No,Jazz,94,Yes
9000000098,"Lane, White and Stevens Grill",French,New Lauraton,Pennsylvania,57463 Soto Ridge,(358) 602-7767,lanewhiteandstevensgrill@gmail.com,Yes,80,9:00 AM - 5:00 PM,Yes,No,"Credit Card, Google Pay",No,Yes,Yes,Live,89,No
9000000099,Mooney-Craig Grill,Vegan,Baileyburgh,North Dakota,84022 Michelle Plaza Apt. 554,(568) 945-6345,mooney-craiggrill@gmail.com,Yes,60,12:00 PM - 9:00 PM,No,Yes,"Google Pay, Cash",Yes,No,Yes,Instrumental,93,Yes
9000000100,Holder Ltd Grill,Mexican,North Andrea,Idaho,034 Kelsey Well Apt. 026,(772) 217-8723,holderltdgrill@gmail.com,Yes,40,1:00 PM - 10:00 PM,No,No,"Cash, Credit Card, Apple Pay",No,Yes,Yes,Jazz,99,Yes
9000000101,Burton Inc Cafe,Chinese,East Danielle,North Dakota,5404 Hatfield Village Suite 371,(967) 770-6264,burtoninccafe@gmail.com,Yes,20,11:00 AM - 11:00 PM,Yes,Yes,"Google Pay, Cash",Yes,No,Yes,Live,80,No
9000000102,Armstrong-Martinez Cafe,French,Port Lisa,Ohio,7379 Nguyen Street,(699) 255-6616,armstrong-martinezcafe@gmail.com,Yes,20,7:00 AM - 3:00 PM,Yes,No,Credit Card Only,No,Yes,No,Instrumental,96,Yes
9000000103,Williams-Owens Cafe,Greek,Newmanbury,South Carolina,9427 Rebecca Valley,(841) 883-8518,williams-owenscafe@gmail.com,Yes,40,10:00 AM - 10:00 PM,No,No,Credit Card Only,Yes,Yes,No,Instrumental,86,No
9000000104,"Schmidt, Singleton and Powell Kitchen",Italian,Freemanton,Pennsylvania,83373 Johnson Lights Suite 463,(253) 556-6411,schmidtsingletonandpowellkitchen@gmail.com,Yes,100,1:00 PM - 10:00 PM,No,Yes,Cash Only,No,Yes,Yes,Pop,86,No
